title,Type,description,level,course_duration,ratings,reviews_count,course_skills,Prerequisites,course_url,platform,course_img,domain,paid,students_count
AI for Healthcare,nanodegree,Be at the forefront of the AI revolution in healthcare and transform patient outcomes by enabling enhanced medical decision-making powered by machine learning.,advanced,4 Months,4.6,145.0,"Artificial Intelligence, 2D Medical Imaging, 3D Medical Imaging, Electronic Health Record Data, Deep Learning, Wearable Device Data, Supervised Learning","Intermediate Python, and Experience with Machine Learning",https://www.udacity.com/course/ai-for-healthcare-nanodegree--nd320,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/86756465e03b99e350c321d4cbfd99e61e2a3520-1218x682.png?w=3840&q=80&fit=clip&auto=format,AI for Healthcare,Yes,N/A
iOS Developer,nanodegree,"Master the Swift programming language, and create a portfolio of iOS apps for iPhone and iPad to showcase your skills!",beginner,6 Months,4.6,897.0,"Swift programming, Core Data, UIKit, iOS networking, app publishing, User interfaces, Local Persistence, APIs",No prior knowledge required,https://www.udacity.com/course/ios-developer-nanodegree--nd003,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/f30df485d2531da30e61564cb87f8f92f95ca742-1198x672.png?w=3840&q=80&fit=clip&auto=format,iOS App Development,Yes,N/A
Flying Car and Autonomous Flight Engineer,nanodegree,"Master job-ready autonomous flight software engineering skills as you tackle advanced challenges, write real code for real aircraft, and develop a systems understanding of the Flying Car full-stack.",advanced,6 Months,4.6,254.0,"3D Motion Planning, Controls, Estimation, Kalman Filters",Mathematics & Programming,https://www.udacity.com/course/flying-car-nanodegree--nd787,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/6c256248d79b3083336ab1e12f42ccde7e42b56c-1198x672.png?w=3840&q=80&fit=clip&auto=format,Autonomous Flight Software Engineering,Yes,N/A
Artificial Intelligence,nanodegree,"Learn essential Artificial Intelligence concepts from AI experts like Peter Norvig and Sebastian Thrun, including search, optimization, planning, pattern recognition, and more.",advanced,3 Months,4.5,355.0,"Constraint Propagation,  AI Algorithms,  Constraint Satisfaction Problems,  Backtracking Search,  Optimization Algorithms,  Search Algorithms,  Minimax Search,  Bayesian networks,  Planning,  Pattern Recognition,  Time-Series Analysis with ML","Algebra, Calculus, Statistics, & Python",https://www.udacity.com/course/ai-artificial-intelligence-nanodegree--nd898,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/ee5be1eeedf5ceda1877f3b27d78b5a5d8abb558-1348x756.png?w=3840&q=80&fit=clip&auto=format,Artificial Intelligence,Yes,N/A
Digital Project Management,nanodegree,"Build confidence translating business requirements into project scope statements, creating project plans, and developing a high-performing team.
",beginner,1 Month,,,"Waterfall project management,  Strategic communication plans,  Requirements gathering,  Project scoping,  Project execution,  Gantt charts,  Agile frameworks,  Stakeholder analysis,  SMART goals,  Team development,  Cost-benefit analysis",Professional fluency in English,https://www.udacity.com/course/digital-project-management-nanodegree--nd043,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=640&q=100&fit=clip&auto=format,Project Management,Yes,N/A
Cloud Native Application Architecture,nanodegree,"Learn to run and manage scalable applications in a cloud native environment using open source tools and projects like ArgoCD, gRPC, and Grafana.",intermediate,4 Months,4.7,151.0,"Microservice architecture,  Kubernetes,  Continuous Integration,  Continuous Delivery,  Message Passing,  Observability,  Microservices security","HTTP, Python, Git, Linux, Docker",https://www.udacity.com/course/cloud-native-application-architecture-nanodegree--nd064,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=828&q=100&fit=clip&auto=format,Cloud Native Applications,Yes,N/A
Data Visualization,nanodegree,"Combine data, visuals, and narrative to tell impactful stories and make data-driven decisions.",beginner,4 Months,4.6,206.0,"Data Visualization, Tableau, Dashboards, Data Storytelling",Basic Data Analysis,https://www.udacity.com/course/data-visualization-nanodegree--nd197,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=828&q=100&fit=clip&auto=format,Data Visualization,Yes,N/A
Marketing Analytics,nanodegree,"Learn to collect and analyze data, model marketing scenarios, and communicate your findings with Excel, Tableau, Google Analytics, and Data Studios.",beginner,3 Months,4.6,359.0,"Google Analytics, Excel & Spreadsheets, Data Visualization, Customer Segmentation",No Prerequisites,https://www.udacity.com/course/marketing-analytics-nanodegree--nd028,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/fdf314615dab9455b1e163ae8ab698abde8453c8-1456x816.png?w=3840&q=80&fit=clip&auto=format,Marketing Analytics,Yes,N/A
Cloud Architect using Microsoft Azure,nanodegree,"Meet the growing demand for Azure cloud architects and learn the skills to translate business requirements into technical specifications for reliable, scalable, and secure cloud infrastructure using Microsoft Azure.",advanced,3 Months,4.8,94.0,"Azure Security Center,  Azure Resource Manager,  Azure Pricing Calculator,  Azure Key Vault,  Azure Defender,  Cloud Cost Policies,  Cloud Cost Evaluation,  Automated Cloud Cost Optimization,  Privileged Identity Management,  Identity and Access Management Fundamentals,  Disaster Recovery Plans","Experience with cloud computing, programming and Microsoft Azure",https://www.udacity.com/course/cloud-architect-using-microsoft-azure-nanodegree--nd090,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/11a90ae272df3763621552365876f6ea8ac21a97-1324x742.png?w=3840&q=80&fit=clip&auto=format,Azure Cloud Architecture,Yes,N/A
Ethical Hacker,nanodegree,"Learn how to find and exploit vulnerabilities, design and execute penetration testing plans, and report on test findings.",advanced,2 Months,,,"Vulnerability Management,  Penetration Testing,  Reconnaissance,  Social Engineering,  Open-source intelligence,  System and Application Auditing","Linux, Networking, Programming and Window OS",https://www.udacity.com/course/ethical-hacker-nanodegree--nd350,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/b32fd6fc93400e5aa6beca327fb5b4a74761b180-1324x742.png?w=3840&q=80&fit=clip&auto=format,Penetration Testing,Yes,N/A
RPA Developer with UiPath,nanodegree,Build the operational processes that enable the businesses of the future.,beginner,4 Months,,,"Process Automation, Business Operations, UiPath Studio, UiPath Orchestrator",Basic familiarity with Microsoft applications and data manipulation,https://www.udacity.com/course/rpa-developer-nanodegree--nd340,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/1706e25eac3c20ab4bf5d2062264a288af29f496-1324x742.png?w=3840&q=80&fit=clip&auto=format,DevOps,Yes,N/A
Privacy Engineer,nanodegree,"Master the skills necessary to become a successful privacy engineer. Learn to create technical solutions and implement privacy principles by integrating Privacy-by-Design into product development, data infrastructure, and software release lifecycles.",intermediate,2 Months,,,"Privacy by Design Framework,  Data Minimization,  Data Encryption,  Sensitive Data Tracking,  Hashing,  Privacy Risk Assessment,  Data Privacy Fundamentals,  Data Anonymization,  k-anonymization,  Data Privacy Regulations,  Tiers of Deletion,  Redaction for Data Minimization,  Regional Privacy Regulations,  Data Lifecycle Management",Python and SQL,https://www.udacity.com/course/privacy-engineer-nanodegree--nd325,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8980e92e19621099e7f69bf42be9d4aece603754-1456x816.png?w=3840&q=80&fit=clip&auto=format,Privacy Engineering,Yes,N/A
Machine Learning Engineer for Microsoft Azure,nanodegree,"Strengthen your machine learning skills and build practical experience by training, validating, and evaluating models using Azure Machine Learning. ",intermediate,3 Months,4.4,200.0,"Azure Machine Learning, Azure Machine Learning SDK, Automation with Pipelines, Automated ML, Machine Learning Operations
","Prior experience with Python, Machine Learning, and Statistics",https://www.udacity.com/course/machine-learning-engineer-for-microsoft-azure-nanodegree--nd00333,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=3840&q=80&fit=clip&auto=format,Azure Machine Learning,Yes,N/A
Data Science for Business Leaders,nanodegree,"Master the people, platforms, and processes required to leverage the power of Data Science in your business.",intermediate,2 Months,4.4,83.0,"Business Strategy, Data Science, Data Architecture, Machine Learning, Human Capital","Statistics, Probability, and Business Experience",https://www.udacity.com/course/data-science-for-business-leaders--nd045,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/e91a4659d80f9de0294d1fc4d9c78b23a4e93146-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Science Leadership,Yes,N/A
Security Engineer,nanodegree,Take advantage of the growing need for skilled security professionals by mastering the sought-after skills to protect an organizationâ€™s computer networks and systems from security threats or attacks.,intermediate,4 Months,4.7,57.0,"Cryptography, Risk Evaluation, Authentication, Authorization, Access
Management, Penetration Testing","Basics of Python, experience configuring AWS and Linux environments",https://www.udacity.com/course/security-engineer-nanodegree--nd698,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/26ec24d4b156067dae78f954f28b12fa64e9bc8b-772x433.png?w=3840&q=80&fit=clip&auto=format,Cybersecurity,Yes,N/A
Site Reliability Engineer,nanodegree,"Learn to build automation tools that ensure designed solutions respond to requirements such as availability, performance, security, and maintainability.",intermediate,4 Months,,,"Cost-Benefit Analysis,  Building SRE Teams,  Observability Best Practices,  Prometheus,  Grafana,  Service Level Indicators,  Terraform,  
Geo-Replication,  Self-Healing System Design,  Microservice Design,  Deployment Rollback,  Deployment Automation,  Cloud Automation,  Deployment Automation,  Incident Post-Mortems,  Incident Management,  Reliability Reviews,  Capacity Management","Python or Java, Bash or Powershell, Linux, UNIX Shell and SQL",https://www.udacity.com/course/site-reliability-engineer-nanodegree--nd087,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/f65b0f36470667f36f2ab480f41a6eef6a0dfaa9-772x433.png?w=3840&q=80&fit=clip&auto=format,Automation Engineering,Yes,N/A
Cloud DevOps using Microsoft Azure,nanodegree,"Learn how to deploy, test, and monitor cloud applications on Azure, one of the most popular cloud services platforms across the globe.",intermediate,3 Months,4.3,106.0,"Infrastructure as Code,  Configuration Management,  Agile Planning,  Continuous Integration,  Continuous Delivery,  Test Automation,  Monitoring","Intermediate Python, familiarity with Linux shell scripting and cloud concepts",https://www.udacity.com/course/cloud-devops-using-microsoft-azure-nanodegree--nd082,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/844bbcb6611a250229f627f83416d5fa52e1917b-1324x742.png?w=3840&q=80&fit=clip&auto=format,Azure Cloud Deployment,Yes,N/A
Security Analyst,nanodegree,"Learn to identify, correct, and respond to security weaknesses and incidents through open-ended projects that mimic workplace security challenges.",intermediate,4 Months,,,"Security controls,  Defensible Network Architecture,  security threat mitigation,  threat modeling,  vulnerability assessment,  incident detection and handling","Experience with Python, SQL, and security fundamentals",https://www.udacity.com/course/security-analyst-nanodegree--nd324,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/2df8638e709b31e67768e848c1b38b83bad4df41-1456x816.png?w=3840&q=80&fit=clip&auto=format,Security Operations,Yes,N/A
Digital Freelancer,nanodegree,The goal of the Digital Freelancer Nanodegree program is to prepare students to enter the digital marketplace by teaching key skills to create a successful digital business. Students will learn freelancing basics and essential skills as well as how to build their personal brand to start a successful online business in the global freelancing marketplace.,beginner,1 Month,,,"Portfolio Websites,  Professional Networking,  Resumes,  Social Media Presence,  Non-Disclosure Agreements,  Service Agreements,  Freelance Pricing Frameworks,  Invoicing,  Brand Design,  Elevator pitches,  Formal Written Communication,  Project management tools,  Project scoping",Basic computer skills,https://www.udacity.com/course/digital-freelancer-nanodegree--nd083,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=3840&q=80&fit=clip&auto=format,Digital Freelancing,Yes,N/A
Cloud Developer using Microsoft Azure,nanodegree,"Master critical cloud computing skills used to deploy, build, migrate, and monitor applications on Azure.",intermediate,4 Months,4.4,65.0,"Virtual Machines,  App Services,  Microservices,  Serverless Functions,  Cloud Migration","Intermediate programming experience, familiarity with SQL databases and Git",https://www.udacity.com/course/cloud-developer-using-microsoft-azure-nanodegree--nd081,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=3840&q=80&fit=clip&auto=format,Azure Cloud Engineering,Yes,N/A
Golang,course,"Discover Golangâ€™s implementation of traditional programming features, as well as extra features that make it a powerful tool.",beginner,1 Month,,,"Go programming,  Go language fundamentals,  Go environment,  basic backend,  Goroutines,  web server,  REST API",Basic computer programming,https://www.udacity.com/course/golang--cd11970,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/5c3120359be5c4f225cd7b817811217041b759ab-1192x668.png?w=3840&q=80&fit=clip&auto=format,Golang Programming,Yes,N/A
Data Privacy,course,Equip yourself with industry-guided data privacy best practices for physical or virtual office environments.,beginner,1 Month,,,"Privacy Impact Assessments,  Data privacy fundamentals,  Data privacy classification,  Data privacy governance,  Data privacy checklists,  Data privacy best practices,  Data loss prevention,  Technical cybersecurity controls,  Procedural cybersecurity controls,  Cybersecurity controls,  NIST Cybersecurity framework,  Data privacy regulations",Understanding of data privacy regulations and cybersecurity best practices,https://www.udacity.com/course/data-privacy--cd1826,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/d2f16531bde974464ad7ab74dc335790dbdebffa-1192x668.png?w=3840&q=80&fit=clip&auto=format,Data Privacy,Yes,N/A
Cloud Computing for Business Leaders,nanodegree,Focus on the unique knowledge and skills that business leaders need to unlock the value of cloud technologies in their organizations.,intermediate,2 Months,,,"Digital transformation,  leadership,  management,  cloud governance model,  novel cloud services,  operational efficiencies,  cloud center of excellence","Word Processors, Spreadsheets, Presentation Tools",https://www.udacity.com/course/cloud-computing-for-business-leaders-nanodegree--nd046,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/3b5e2dcb6962b3c193bb33b3ffe880441acf2a89-1198x672.png?w=3840&q=80&fit=clip&auto=format,Cloud Leadership,Yes,N/A
Security Architect,nanodegree,The goal of the Security Architect Nanodegree is to equip learners with the necessary skills to implement elements of security infrastructure design and management at an enterprise level.,intermediate,4 Months,,,"Threat Modeling,  DiD Framework,  Cybersecurity Risk Management,  Incident Response Playbooks,  Network Security Fundamentals,  Architecture Diagramming,  Access Control Matrices",Linux and AWS,https://www.udacity.com/course/security-architect-nanodegree--nd992,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/e767662e806c4b485fdb86dbc15f13f937756232-1456x816.png?w=3840&q=80&fit=clip&auto=format,Security Architecture,Yes,N/A
Enterprise Security,nanodegree,"This program addresses security topics related to corporate environments, which are often distinct from production environments and center around the devices, identities, and infrastructure used by personnel on a daily basis.",intermediate,4 Months,,,"Device Hardening Strategy,  Cybersecurity Policy Writing,  Zero Trust Security Model,  Data Encryption,  Backup Strategy,  API Security,  Cloud Hardening Strategy,  Container Vulnerability Management,  IT Asset Management,  Secure Network Architecture Design,  Cybersecurity Compliance",Linux and Azure,https://www.udacity.com/course/enterprise-security-nanodegree--nd0035,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/5ff5d5ece10bed416bef03604a02a5224b30cd82-1456x816.png?w=3840&q=80&fit=clip&auto=format,Enterprise Security,Yes,N/A
AI Engineer using Microsoft Azure,nanodegree,"Master the skills necessary to implement machine learning models, build end-to-end AI solutions, and manage continuous improvement of an Azure AI solution.",advanced,3 Months,,,"Object Detection,  Image Classification,  Form Recognition,  Facial Recognition,  Face Detection,  Azure Cognitive Services,  Microsoft Bot Framework,  Azure Conversational AI Agents,  Architecture Diagramming,  Requirements Gathering,  Intent Recognition,  Key Phrase Extraction,  Azure Form Recognizer,  Bounding Boxes","Python, Microsoft Azure, JSON and REST programming semantics",https://www.udacity.com/course/ai-engineer-using-microsoft-azure--nd073,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/7c30d37b7fa71fd4603ed91727c5505d14426f0e-1456x816.png?w=3840&q=80&fit=clip&auto=format,Azure AI Engineering,Yes,N/A
Programming for Data Science with R,nanodegree,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git.",beginner,3 Months,4.8,95.0,"R, SQL, Git",None,https://www.udacity.com/course/programming-for-data-science-nanodegree-with-R--nd118,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/de83e035790099664b193de60ad62f9ce64ab50b-1350x756.png?w=3840&q=80&fit=clip&auto=format,Data Science Programming,Yes,N/A
Zero Trust Security,course,Learners leave the course with a reinvigorated perspective on cybersecurity and a lexicon of practices and solutions that support what is rapidly becoming the new dominant strategy in enterprise security.,intermediate,1 Month,,,"Zero Trust Pillars,  Zero Trust Security Model,  Zero Trust Deployment Strategy,  Zero Trust Maturity Model,  Zero Trust Algorithms,  Cybersecurity Risk Management,  Perimeter Security",Familiarity with basic cybersecurity concepts and practices,https://www.udacity.com/course/zero-trust-security--cd11535,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/86756465e03b99e350c321d4cbfd99e61e2a3520-1218x682.png?w=3840&q=80&fit=clip&auto=format,Cybersecurity Strategy,Yes,N/A
Cybersecurity for Business Leaders,nanodegree,Learn to leverage the capabilities of cybersecurity best practices to protect your organization and unlock next-level results.,beginner,1 Month,,,"Basic Cybersecurity Implementation,  Threat Actors,  Security Devices,  Vulnerability Assessment,  Security Risk Classification,  Cybersecurity Fluency,  Cybersecurity Risk Management,  Cybersecurity Training Strategies,  Social Engineering,  Phishing,  Cybersecurity incident response playbooks,  Cybersecurity Regulations and Standards",No prior experience is required,https://www.udacity.com/course/cybersecurity-for-business-leaders--nd1202,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/f30df485d2531da30e61564cb87f8f92f95ca742-1198x672.png?w=3840&q=80&fit=clip&auto=format,Cybersecurity Best Practices,Yes,N/A
Ethical AI,course,"Learn to apply ethical AI to minimize bias, while maximizing fairness and explainability, ensuring an ethical future for all.",intermediate,1 Month,,,"AI Fairness,  AI Governance,  AI Transparency,  Model Bias Analysis,  Model Bias Mitigation,  Explainable AI,  Ethical AI",AI & machine learning fundamentals,https://www.udacity.com/course/ethical-ai--cd1827,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/6c256248d79b3083336ab1e12f42ccde7e42b56c-1198x672.png?w=3840&q=80&fit=clip&auto=format,Ethical AI,Yes,N/A
AWS Machine Learning Foundations Course,free,Learn what machine learning is and the steps involved in building and evaluating models. Gain in demand skills needed at businesses working to solve challenges with AI.,intermediate,2 Months,,,"Computer vision,  Reinforcement learning,  Generative AI,  Machine Learning,  Object-oriented programming",,https://www.udacity.com/course/aws-machine-learning-foundations--ud065,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/ee5be1eeedf5ceda1877f3b27d78b5a5d8abb558-1348x756.png?w=3840&q=80&fit=clip&auto=format,Machine Learning Basics,Yes,N/A
Introduction to Machine Learning using Microsoft Azure,free,"Gain a high-level introduction to the field of machine learning and prepare to use Azure Machine Learning Studio to train machine learning models. Plus, learn how to perform a variety of tasks on Azure Machine Learning labs â€” from data import, transformation and management to training, validating and evaluating models.",intermediate,2 Months,,,"Machine Learning,  Azure,  Model Training,  Supervised & Unsupervised Learning,  Responsible AI",,https://www.udacity.com/course/introduction-to-machine-learning-using-microsoft-azure--ud00333,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=640&q=100&fit=clip&auto=format,Azure Machine Learning Studio,Yes,N/A
AI Fundamentals,free,"AI Fundamentals is an entry point into the world of AI using Microsoft's cloud-based solutions, such as Azure Machine Learning and Azure Cognitive Services.",beginner,1 Month,,,"Artificial Intelligence,  Machine Learning,  Azure,  Computer Vision,  Azure Cognitive Services,  Natural Language Processing,  Conversational AI",,https://www.udacity.com/course/ai-fundamentals--ud099,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=828&q=100&fit=clip&auto=format,AI Fundamentals,Yes,N/A
Linear Algebra Refresher Course,free,Learn linear algebra by doing: you will code your own library of linear algebra functions!,intermediate,4 Months,,,"Algebra, Python, Vectors, Intersections",,https://www.udacity.com/course/linear-algebra-refresher-course--ud953,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=828&q=100&fit=clip&auto=format,Linear Algebra,Yes,N/A
Machine Learning: Unsupervised Learning,free,Ever wonder how Netflix can predict what movies you'll like? Or how Amazon knows what you want to buy before you do? The answer can be found in Unsupervised Learning!,intermediate,1 Month,,,"Randomized Optimization, Clustering, Feature Selection, Feature Transformation, Information Theory",,https://www.udacity.com/course/machine-learning-unsupervised-learning--ud741,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/fdf314615dab9455b1e163ae8ab698abde8453c8-1456x816.png?w=3840&q=80&fit=clip&auto=format,Unsupervised Learning,Yes,N/A
Big Data Analytics in Healthcare,free,"In this course, we introduce the characteristics of medical data and associated data mining challenges on dealing with such data. We cover various algorithms and systems.",intermediate,2 Months,,,"Data Analytics, Health Care Applications, Algorithms",,https://www.udacity.com/course/big-data-analytics-in-healthcare--ud758,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/11a90ae272df3763621552365876f6ea8ac21a97-1324x742.png?w=3840&q=80&fit=clip&auto=format,Medical Data Mining,Yes,N/A
IntelÂ® Edge AI Fundamentals with OpenVINOâ„¢,free,Stay at the cutting-edge of AI technology by gaining practical skills for deploying edge AI. Learn how to use the Intel Distribution of OpenVINO toolkit to deploy computer vision capabilities inside a range of edge applications.,intermediate,1 Month,,,"Edge AI, Intel OpenVINO, Computer Vision, Deep Learning",,https://www.udacity.com/course/intel-edge-AI-fundamentals-with-openvino--ud132,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/b32fd6fc93400e5aa6beca327fb5b4a74761b180-1324x742.png?w=3840&q=80&fit=clip&auto=format,Edge AI,Yes,N/A
Artificial Intelligence,free,"This course gives a survey of topics in AI along with in-depth foundational concepts such as classical search, probability, machine learning, logic and planning.",intermediate,4 Months,,,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",,https://www.udacity.com/course/artificial-intelligence--ud954,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/1706e25eac3c20ab4bf5d2062264a288af29f496-1324x742.png?w=3840&q=80&fit=clip&auto=format,AI Foundations,Yes,N/A
Secure and Private AI,free,Learn how to extend PyTorch with the tools necessary to train AI models that preserve user privacy.,advanced,2 Months,,,"Artificial Intelligence, Probability, Bayesian Networks, Logic and Planning, Machine Learning",,https://www.udacity.com/course/secure-and-private-ai--ud185,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8980e92e19621099e7f69bf42be9d4aece603754-1456x816.png?w=3840&q=80&fit=clip&auto=format,PyTorch Privacy,Yes,N/A
Model Building and Validation,free,This course will teach you how to start from scratch in understanding and paying attention to what is important in the data and how to answer questions about data.,advanced,8 Weeks,,,"Questioning, Modeling, Validation, Data Analysis, QMV Process",,https://www.udacity.com/course/model-building-and-validation--ud919,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/127c1f769355e645e449045e7d9088d3f55c0397-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Literacy,Yes,N/A
Data Visualization and D3.js,free,Learn the fundamentals of data visualization and apply design and narrative concepts to create your own visualization.,intermediate,7 Weeks,,,"d3.js, Design of Visualizations, Data Visualization, Visual Encodings",,https://www.udacity.com/course/data-visualization-and-d3js--ud507,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/e91a4659d80f9de0294d1fc4d9c78b23a4e93146-1456x816.png?w=3840&q=80&fit=clip&auto=format,Data Visualization,Yes,N/A
Machine Learning for Trading,free,Implement machine learning based strategies to make trading decisions using real-world data.,intermediate,4 Months,,,"Pandas, Time Series Analysis, Computational Investing, Algorithmic Trading, Reinforcement Learning for Trading",,https://www.udacity.com/course/machine-learning-for-trading--ud501,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/26ec24d4b156067dae78f954f28b12fa64e9bc8b-772x433.png?w=3840&q=80&fit=clip&auto=format,Algorithmic Trading,Yes,N/A
Machine Learning,free,"In this course, you'll learn how to apply Supervised, Unsupervised and Reinforcement Learning techniques for solving a range of data science problems.",intermediate,4 Months,,,"Supervised Learning, Unsupervised Learning, Information Theory, Reinforcement Learning, Game Theory",,https://www.udacity.com/course/machine-learning--ud262,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/f65b0f36470667f36f2ab480f41a6eef6a0dfaa9-772x433.png?w=3840&q=80&fit=clip&auto=format,Machine Learning Applications,Yes,N/A
Intro to Hadoop and MapReduce,free,"In this short course, learn the fundamentals of MapReduce and Apache Hadoop to start making sense of Big Data in the real world!",intermediate,1 Month,,,"Big Data, Hadoop, MapReduce",,https://www.udacity.com/course/intro-to-hadoop-and-mapreduce--ud617,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/844bbcb6611a250229f627f83416d5fa52e1917b-1324x742.png?w=3840&q=80&fit=clip&auto=format,Big Data Processing,Yes,N/A
Real-Time Analytics with Apache Storm,free,"The world is trending in real time! Learn Apache Storm, taught by Twitter, to scalably analyze real-time tweets and drive d3 visualizations. Storm is free, open and fun!",intermediate,2 Weeks,,,"Data Analysis, Real-time Analytics, Apache Storm",,https://www.udacity.com/course/real-time-analytics-with-apache-storm--ud381,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/2df8638e709b31e67768e848c1b38b83bad4df41-1456x816.png?w=3840&q=80&fit=clip&auto=format,Real-Time Data Streaming,Yes,N/A
A/B Testing,free,"This course will cover the design and analysis of A/B tests, also known as split tests, which are online experiments used to test potential improvements to a website or mobile application. ",intermediate,1 Month,,,"A/B tests,  Results Analysis,  Statistical Significance ",,https://www.udacity.com/course/ab-testing--ud257,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/8654239949755df40b9750508d22e758ea155d4d-945x530.png?w=3840&q=80&fit=clip&auto=format,A/B Testing,Yes,N/A
Data Analysis with R,free,Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.,intermediate,2 Months,,,"R, Exploratory Data Analysis, Data Visualization",,https://www.udacity.com/course/data-analysis-with-r--ud651,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/dfaa827f099ab02154e4350e1221e6e48ab31a5a-1218x682.png?w=3840&q=80&fit=clip&auto=format,Data Analysis with R,Yes,N/A
Knowledge-Based AI: Cognitive Systems,free,The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.,advanced,7 Weeks,,,"Semantic Networks, Common-Sense Reasoning, Logic & Planning, Analogical Reasoning, Visuospatial Reasoning",,https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/5c3120359be5c4f225cd7b817811217041b759ab-1192x668.png?w=3840&q=80&fit=clip&auto=format,Knowledge-Based AI,Yes,N/A
Introduction to TensorFlow Lite,free,Learn how to deploy deep learning models on mobile and embedded devices with TensorFlow Lite.,intermediate,2 Months,,,"TensorFlow Lite, Deep Learning Models, Android, iOS, Linux",,https://www.udacity.com/course/intro-to-tensorflow-lite--ud190,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/d2f16531bde974464ad7ab74dc335790dbdebffa-1192x668.png?w=3840&q=80&fit=clip&auto=format,TensorFlow Lite,Yes,N/A
Introduction to Computer Vision,free,"This course provides an introduction to computer vision including fundamentals, methods for application and machine learning classification.",intermediate,4 Months,,,"Image Processing, Stereo Geometry, Feature Detection & Matching, Object Tracking, Classification & Recognition",,https://www.udacity.com/course/introduction-to-computer-vision--ud810,Udacity,https://cdn.sanity.io/images/tlr8oxjg/production/3b5e2dcb6962b3c193bb33b3ffe880441acf2a89-1198x672.png?w=3840&q=80&fit=clip&auto=format,Computer Vision,Yes,N/A
